El-number,tags,Name,Description,Art_nr,EAN_Tekst,Type,Effect,Area,Width,Length,MainSpec,Voltage,per_meter,self_limiting,isMat,inside,outside,effekt_mod,wm_mod,lengde_mod,type_mod
1001065,"mat, inside, parquet","P 60W/15,0m2 0,5x30m 900W",Varmekabelmatte som parkettunderlag,7071236009917,"TFP 60W/15,0m2 0,5x30m 900W",P, 900,"15,0","0,5","15,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001052,"mat, inside, parquet","P 60W/2,0m2 0,5x4m 120W",Varmekabelmatte som parkettunderlag,7071236009979,"TFP 60W/2,0m2 0,5x4m 120W",P, 120,"2,0","0,5","2,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001102,"mat, inside, parquet","P 30W/2,0m2 0,5x4m 60W",Varmekabelmatte som parkettunderlag,7071236009535,"TFP 30W/2,0m2 0,5x4m 60W",P, 60,"2,0","0,5","2,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001132,"mat, inside, parquet","P 60W/2,0m2 0,5x4m 120W",Varmekabelmatte som parkettunderlag,7071236000556,"TFP60W/2,0m2 0,5x4m 120W",P, 120,"2,0","0,5","2,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001053,"mat, inside, parquet","P 60W/3,0m2 0,5x6m 180W",Varmekabelmatte som parkettunderlag,7071236009986,"TFP 60W/3,0m2 0,5x6m 180W",P, 180,"3,0","0,5","3,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001103,"mat, inside, parquet","P 30W/3,0m2 0,5x6m 90W",Varmekabelmatte som parkettunderlag,7071236009542,"TFP 30W/3,0m2 0,5x6m 90W",P, 90,"3,0","0,5","3,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001133,"mat, inside, parquet","P 60W/3,0m2 0,5x6m 180W",Varmekabelmatte som parkettunderlag,7071236000563,"TFP60W/3,0m2 0,5x6m 180W",P, 180,"3,0","0,5","3,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001054,"mat, inside, parquet","P 60W/4,0m2 0,5x8m 240W",Varmekabelmatte som parkettunderlag,7071236009993,"TFP 60W/4,0m2 0,5x8m 240W",P, 240,"4,0","0,5","4,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001104,"mat, inside, parquet","P 30W/4,0m2 0,5x8m 120W",Varmekabelmatte som parkettunderlag,7071236009559,"TFP 30W/4,0m2 0,5x8m 120W",P, 120,"4,0","0,5","4,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001134,"mat, inside, parquet","P 60W/4,0m2 0,5x8m 240W",Varmekabelmatte som parkettunderlag,7071236000570,"TFP60W/4,0m2 0,5x8m 240W",P, 240,"4,0","0,5","4,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001055,"mat, inside, parquet","P 60W/5,0m2 0,5x10m 300W",Varmekabelmatte som parkettunderlag,7071236010005,"TFP 60W/5,0m2 0,5x10m 300W",P, 300,"5,0","0,5","5,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001105,"mat, inside, parquet","P 30W/5,0m2 0,5x10m 150W",Varmekabelmatte som parkettunderlag,7071236009566,"TFP 30W/5,0m2 0,5x10m 150W",P, 150,"5,0","0,5","5,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001135,"mat, inside, parquet","P 60W/5,0m2 0,5x10m 300W",Varmekabelmatte som parkettunderlag,7071236000587,"TFP60W/5,0m2 0,5x10m 300W",P, 300,"5,0","0,5","5,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001122,"mat, inside, parquet","P 30W/5,5m2 0,5x11m 165W",Varmekabelmatte som parkettunderlag,7071236009849,"TFP 30W/5,5m2 0,5x11m 165W",P, 165,"5,5","0,5","5,5",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001056,"mat, inside, parquet","P 60W/6,0m2 0,5x12m 360W",Varmekabelmatte som parkettunderlag,7071236010012,"TFP 60W/6,0m2 0,5x12m 360W",P, 360,"6,0","0,5","6,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001106,"mat, inside, parquet","P 30W/6,0m2 0,5x12m 180W",Varmekabelmatte som parkettunderlag,7071236009573,"TFP 30W/6,0m2 0,5x12m 180W",P, 180,"6,0","0,5","6,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001136,"mat, inside, parquet","P 60W/6,0m2 0,5x12m 360W",Varmekabelmatte som parkettunderlag,7071236000594,"TFP60W/6,0m2 0,5x12m 360W",P, 360,"6,0","0,5","6,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001123,"mat, inside, parquet","P 30W/6,5m2 0,5x13m 195W",Varmekabelmatte som parkettunderlag,7071236009634,"TFP 30W/6,5m2 0,5x13m 195W",P, 195,"6,5","0,5","6,5",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001124,"mat, inside, parquet","P 30W/6,75m2 0,5x13,5m 203W",Varmekabelmatte som parkettunderlag,7071236009832,"TFP 30W/6,75m2 0,5x13,5m 203W",P, 203,75,"0,5","6,75",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001057,"mat, inside, parquet","P 60W/7,0m2 0,5x14m 420W",Varmekabelmatte som parkettunderlag,7071236010029,"TFP 60W/7,0m2 0,5x14m 420W",P, 420,"7,0","0,5","7,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001107,"mat, inside, parquet","P 30W/7,0m2 0,5x14m 210W",Varmekabelmatte som parkettunderlag,7071236009580,"TFP 30W/7,0m2 0,5x14m 210W",P, 210,"7,0","0,5","7,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001137,"mat, inside, parquet","P 60W/7,0m2 0,5x14m 420W",Varmekabelmatte som parkettunderlag,7071236000600,"TFP60W/7,0m2 0,5x14m 420W",P, 420,"7,0","0,5","7,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001058,"mat, inside, parquet","P 60W/8,0m2 0,5x16m 480W",Varmekabelmatte som parkettunderlag,7071236010036,"TFP 60W/8,0m2 0,5x16m 480W",P, 480,"8,0","0,5","8,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001108,"mat, inside, parquet","P 30W/8,0m2 0,5x16m 240W",Varmekabelmatte som parkettunderlag,7071236009597,"TFP 30W/8,0m2 0,5x16m 240W",P, 240,"8,0","0,5","8,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001138,"mat, inside, parquet","P 60W/8,0m2 0,5x16m 480W",Varmekabelmatte som parkettunderlag,7071236000617,"TFP60W/8,0m2 0,5x16m 480W",P, 480,"8,0","0,5","8,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001128,"mat, inside, parquet","P 30W/8,5m2 0,5x17m 255W",Varmekabelmatte som parkettunderlag,7071236009856,"TFP 30W/8,5m2 0,5x17m 255W",P, 255,"8,5","0,5","8,5",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001059,"mat, inside, parquet","P 60W/9,0m2 0,5x18m 540W",Varmekabelmatte som parkettunderlag,7071236010043,"TFP 60W/9,0m2 0,5x18m 540W",P, 540,"9,0","0,5","9,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001109,"mat, inside, parquet","P 30W/9,0m2 0,5x18m 270W",Varmekabelmatte som parkettunderlag,7071236009603,"TFP 30W/9,0m2 0,5x18m 270W",P, 270,"9,0","0,5","9,0",30,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001139,"mat, inside, parquet","P 60W/9,0m2 0,5x18m 540W",Varmekabelmatte som parkettunderlag,7071236008422,"TFP60W/9,0m2 0,5x18m 540W",P, 540,"9,0","0,5","9,0",60,230,FALSE,FALSE,TRUE,TRUE,FALSE,,,,1
1001027,"mat, mirror, inside, wetroom",Duggfritt speil 50x150cm 150W,Elektrisk matte for duggfritt speil,7071236009320,TF duggfritt speil 50x150cm 150W,Duggfritt speil 50x150cm, 150,,50,150,,230,FALSE,FALSE,TRUE,TRUE,FALSE,,5,1,3
1001028,"mat, mirror, inside, wetroom",Duggfritt speil 50x200cm 200W,Elektrisk matte for duggfritt speil,7071236009337,TF duggfritt speil 50x200cm 200W,Duggfritt speil 50x200cm, 200,,50,200,,230,FALSE,FALSE,TRUE,TRUE,FALSE,,5,1,3
1001030,"mat, mirror, inside, wetroom",Duggfritt speil 45x50cm 50W,Elektrisk matte for duggfritt speil,7071236000129,TF duggfritt speil 45x50cm 50W,Duggfritt speil 45x50cm, 50,,45,50,,230,FALSE,FALSE,TRUE,TRUE,FALSE,,5,1,3
1001031,"mat, mirror, inside, wetroom",Duggfritt speil 60x75cm 100W,Elektrisk matte for duggfritt speil,7071236000136,TF duggfritt speil 60x75cm 100W,Duggfritt speil 60x75cm, 100,,60,75,,230,FALSE,FALSE,TRUE,TRUE,FALSE,,5,1,3
1001026,"mat, mirror, inside, wetroom",Duggfritt speil 50x80cm 80W,Elektrisk matte for duggfritt speil,7071236009313,TF duggfritt speil 50x80cm 80W,Duggfritt speil 50x80cm, 80,,50,80,,230,FALSE,FALSE,TRUE,TRUE,FALSE,,5,1,3
